PDB_ID,Method,Resolution
1ANX,X-RAY DIFFRACTION,N/A
1AO3,X-RAY DIFFRACTION,2.2
1AO6,X-RAY DIFFRACTION,2.38
1AO7,X-RAY DIFFRACTION,2.6
1AOA,X-RAY DIFFRACTION,2.4
1AOS,X-RAY DIFFRACTION,4.0
1AP5,X-RAY DIFFRACTION,2.2
1AP6,X-RAY DIFFRACTION,1.9
1APY,X-RAY DIFFRACTION,N/A
1APZ,X-RAY DIFFRACTION,N/A
1AQC,X-RAY DIFFRACTION,2.3
1AQD,X-RAY DIFFRACTION,2.45
1AQK,X-RAY DIFFRACTION,1.84
1AQV,X-RAY DIFFRACTION,1.94
1AQW,X-RAY DIFFRACTION,1.8
1AQX,X-RAY DIFFRACTION,2.03
1ATH,X-RAY DIFFRACTION,N/A
1ATZ,X-RAY DIFFRACTION,1.8
1AU1,X-RAY DIFFRACTION,2.2
1AUI,X-RAY DIFFRACTION,2.1
1AUK,X-RAY DIFFRACTION,2.1
1AUT,X-RAY DIFFRACTION,2.8
1AV1,X-RAY DIFFRACTION,4.0
1AV5,X-RAY DIFFRACTION,2.0
1AVF,X-RAY DIFFRACTION,2.36
1AVH,X-RAY DIFFRACTION,N/A
1AVO,X-RAY DIFFRACTION,2.8
1AVR,X-RAY DIFFRACTION,N/A
1AVZ,X-RAY DIFFRACTION,3.0
1AWB,X-RAY DIFFRACTION,2.5
1AWF,X-RAY DIFFRACTION,2.2
1AWH,X-RAY DIFFRACTION,3.0
1AXC,X-RAY DIFFRACTION,2.6
1AXI,X-RAY DIFFRACTION,2.1
1AXN,X-RAY DIFFRACTION,1.78
1AXS,X-RAY DIFFRACTION,2.6
1AY6,X-RAY DIFFRACTION,1.8
1AYE,X-RAY DIFFRACTION,1.8
1AYP,X-RAY DIFFRACTION,N/A
1AZV,X-RAY DIFFRACTION,1.9
1AZX,X-RAY DIFFRACTION,2.9
1B08,X-RAY DIFFRACTION,2.3
1B09,X-RAY DIFFRACTION,2.5
1B0G,X-RAY DIFFRACTION,2.5
1B0L,X-RAY DIFFRACTION,2.2
1B0R,X-RAY DIFFRACTION,2.9
1B2W,X-RAY DIFFRACTION,2.79
1B2Y,X-RAY DIFFRACTION,3.2
1B34,X-RAY DIFFRACTION,2.5
1B3A,X-RAY DIFFRACTION,1.6
1B3K,X-RAY DIFFRACTION,2.99
1B3U,X-RAY DIFFRACTION,2.3
1B47,X-RAY DIFFRACTION,2.2
1B4F,X-RAY DIFFRACTION,1.95
1B4J,X-RAY DIFFRACTION,2.73
1B50,SOLUTION NMR,N/A
1B53,SOLUTION NMR,N/A
1B55,X-RAY DIFFRACTION,2.4
1B5G,X-RAY DIFFRACTION,2.1
1B5Z,X-RAY DIFFRACTION,1.81
1B6C,X-RAY DIFFRACTION,2.6
1B6D,X-RAY DIFFRACTION,2.74
1B6U,X-RAY DIFFRACTION,3.0
1B7X,X-RAY DIFFRACTION,2.1
1B86,X-RAY DIFFRACTION,2.5
1B8M,X-RAY DIFFRACTION,2.75
1B98,X-RAY DIFFRACTION,2.75
1B9E,X-RAY DIFFRACTION,2.5
1BA8,X-RAY DIFFRACTION,1.8
1BAB,X-RAY DIFFRACTION,N/A
1BB0,X-RAY DIFFRACTION,1.8
1BB3,X-RAY DIFFRACTION,1.79
1BB4,X-RAY DIFFRACTION,2.23
1BB5,X-RAY DIFFRACTION,1.79
1BBB,X-RAY DIFFRACTION,N/A
1BBJ,X-RAY DIFFRACTION,N/A
1BBR,X-RAY DIFFRACTION,N/A
1BCU,X-RAY DIFFRACTION,2.0
1BD2,X-RAY DIFFRACTION,2.5
1BD8,X-RAY DIFFRACTION,1.8
1BD9,X-RAY DIFFRACTION,2.05
1BDA,X-RAY DIFFRACTION,3.1
1BEH,X-RAY DIFFRACTION,1.7
1BEN,X-RAY DIFFRACTION,1.4
1BEY,X-RAY DIFFRACTION,3.25
1BF5,X-RAY DIFFRACTION,2.9
1BH5,X-RAY DIFFRACTION,2.2
1BH8,X-RAY DIFFRACTION,2.9
1BH9,X-RAY DIFFRACTION,2.6
1BHG,X-RAY DIFFRACTION,N/A
1BHH,X-RAY DIFFRACTION,1.9
1BHO,X-RAY DIFFRACTION,2.7
1BHQ,X-RAY DIFFRACTION,2.7
1BHT,X-RAY DIFFRACTION,2.0
1BHX,X-RAY DIFFRACTION,2.3
1BI8,X-RAY DIFFRACTION,2.8
1BIJ,X-RAY DIFFRACTION,2.0
1BIK,X-RAY DIFFRACTION,2.5
1BIL,X-RAY DIFFRACTION,N/A
1BIM,X-RAY DIFFRACTION,N/A
1BIW,X-RAY DIFFRACTION,2.5
1BJ1,X-RAY DIFFRACTION,2.4
1BJ5,X-RAY DIFFRACTION,2.5
1BJM,X-RAY DIFFRACTION,2.2
1BKA,X-RAY DIFFRACTION,N/A
1BKC,X-RAY DIFFRACTION,2.0
1BKD,X-RAY DIFFRACTION,2.8
1BKE,X-RAY DIFFRACTION,3.15
1BKZ,X-RAY DIFFRACTION,1.9
1BL4,X-RAY DIFFRACTION,1.9
1BM0,X-RAY DIFFRACTION,2.37
1BM7,X-RAY DIFFRACTION,2.0
1BML,X-RAY DIFFRACTION,2.9
1BMM,X-RAY DIFFRACTION,N/A
1BMN,X-RAY DIFFRACTION,N/A
1BMO,X-RAY DIFFRACTION,3.1
1BMQ,X-RAY DIFFRACTION,2.0
1BMZ,X-RAY DIFFRACTION,2.0
1BND,X-RAY DIFFRACTION,N/A
1BNL,X-RAY DIFFRACTION,2.9
1BOY,X-RAY DIFFRACTION,N/A
1BP1,X-RAY DIFFRACTION,2.4
1BP3,X-RAY DIFFRACTION,2.9
1BPX,X-RAY DIFFRACTION,2.4
1BPY,X-RAY DIFFRACTION,2.2
1BPZ,X-RAY DIFFRACTION,2.6
1BQO,X-RAY DIFFRACTION,2.3
1BQQ,X-RAY DIFFRACTION,2.5
1BQT,SOLUTION NMR,N/A
1BQU,X-RAY DIFFRACTION,2.0
1BR8,X-RAY DIFFRACTION,2.9
1BRC,X-RAY DIFFRACTION,N/A
1BRE,X-RAY DIFFRACTION,1.76
1BSI,X-RAY DIFFRACTION,2.0
1BT6,X-RAY DIFFRACTION,2.4
1BTK,X-RAY DIFFRACTION,1.6
1BU1,X-RAY DIFFRACTION,2.6
1BUH,X-RAY DIFFRACTION,2.6
1BUI,X-RAY DIFFRACTION,2.65
1BUV,X-RAY DIFFRACTION,2.5
1BUW,X-RAY DIFFRACTION,1.77
1BVK,X-RAY DIFFRACTION,2.7
1BVL,X-RAY DIFFRACTION,2.87
1BWC,X-RAY DIFFRACTION,2.1
1BWN,X-RAY DIFFRACTION,2.1
1BWW,X-RAY DIFFRACTION,1.7
1BX2,X-RAY DIFFRACTION,2.6
1BXL,SOLUTION NMR,N/A
1BY8,X-RAY DIFFRACTION,2.6
1BYQ,X-RAY DIFFRACTION,1.5
1BZ0,X-RAY DIFFRACTION,1.5
1BZ1,X-RAY DIFFRACTION,1.59
1BZ8,X-RAY DIFFRACTION,1.8
1BZD,X-RAY DIFFRACTION,1.7
1BZE,X-RAY DIFFRACTION,1.7
1BZY,X-RAY DIFFRACTION,2.0
1BZZ,X-RAY DIFFRACTION,1.59
1C0F,X-RAY DIFFRACTION,2.4
1C0G,X-RAY DIFFRACTION,2.0
1C16,X-RAY DIFFRACTION,3.0
1C1U,X-RAY DIFFRACTION,1.45
1C1V,X-RAY DIFFRACTION,1.98
1C1W,X-RAY DIFFRACTION,1.9
1C1Y,X-RAY DIFFRACTION,1.9
1C1Z,X-RAY DIFFRACTION,2.87
1C3I,X-RAY DIFFRACTION,1.83
1C4U,X-RAY DIFFRACTION,2.1
1C4V,X-RAY DIFFRACTION,2.1
1C4Y,X-RAY DIFFRACTION,1.8
1C4Z,X-RAY DIFFRACTION,2.6
1C5B,X-RAY DIFFRACTION,2.1
1C5C,X-RAY DIFFRACTION,1.61
1C5L,X-RAY DIFFRACTION,1.31
1C5M,X-RAY DIFFRACTION,1.64
1C5N,X-RAY DIFFRACTION,1.5
1C5O,X-RAY DIFFRACTION,1.9
1C7B,X-RAY DIFFRACTION,1.8
1C7C,X-RAY DIFFRACTION,1.8
1C7D,X-RAY DIFFRACTION,1.8
1C7U,SOLUTION NMR,N/A
1C8Q,X-RAY DIFFRACTION,2.2
1C8T,X-RAY DIFFRACTION,2.15
1C9B,X-RAY DIFFRACTION,2.65
1C9Y,X-RAY DIFFRACTION,1.9
1CA0,X-RAY DIFFRACTION,2.1
1CA7,X-RAY DIFFRACTION,2.5
1CA8,X-RAY DIFFRACTION,1.8
1CB5,X-RAY DIFFRACTION,2.6
1CB6,X-RAY DIFFRACTION,2.0
1CBL,X-RAY DIFFRACTION,N/A
1CBM,X-RAY DIFFRACTION,N/A
1CC0,X-RAY DIFFRACTION,4.0
1CD0,X-RAY DIFFRACTION,1.9
1CDH,X-RAY DIFFRACTION,N/A
1CDI,X-RAY DIFFRACTION,N/A
1CDJ,X-RAY DIFFRACTION,N/A
1CDK,X-RAY DIFFRACTION,N/A
1CDL,X-RAY DIFFRACTION,N/A
1CDU,X-RAY DIFFRACTION,N/A
1CDW,X-RAY DIFFRACTION,1.9
1CDY,X-RAY DIFFRACTION,N/A
1CE1,X-RAY DIFFRACTION,1.9
1CE6,X-RAY DIFFRACTION,2.85
1CEA,X-RAY DIFFRACTION,N/A
1CEB,X-RAY DIFFRACTION,2.06
1CEE,SOLUTION NMR,N/A
1CF4,SOLUTION NMR,N/A
1CF7,X-RAY DIFFRACTION,2.6
1CFF,SOLUTION NMR,N/A
1CG9,X-RAY DIFFRACTION,2.7
1CGF,X-RAY DIFFRACTION,N/A
1CGI,X-RAY DIFFRACTION,N/A
1CGJ,X-RAY DIFFRACTION,N/A
1CGL,X-RAY DIFFRACTION,N/A
1CGQ,X-RAY DIFFRACTION,2.0
1CH4,X-RAY DIFFRACTION,2.5
1CI4,X-RAY DIFFRACTION,1.9
1CI6,X-RAY DIFFRACTION,2.6
1CJ1,X-RAY DIFFRACTION,3.0
1CJL,X-RAY DIFFRACTION,2.2
1CJY,X-RAY DIFFRACTION,2.5
1CK7,X-RAY DIFFRACTION,2.8
1CKG,X-RAY DIFFRACTION,2.0
1CKL,X-RAY DIFFRACTION,3.1
1CKS,X-RAY DIFFRACTION,N/A
1CLS,X-RAY DIFFRACTION,N/A
1CLY,X-RAY DIFFRACTION,2.51
1CM8,X-RAY DIFFRACTION,2.4
1CMI,X-RAY DIFFRACTION,2.5
1CMK,X-RAY DIFFRACTION,N/A
1CMX,X-RAY DIFFRACTION,2.25
1CMY,X-RAY DIFFRACTION,N/A
1CN4,X-RAY DIFFRACTION,2.8
1CNT,X-RAY DIFFRACTION,2.4
1COH,X-RAY DIFFRACTION,N/A
1CP3,X-RAY DIFFRACTION,2.3
1CPU,X-RAY DIFFRACTION,2.0
1CQP,X-RAY DIFFRACTION,2.6
1CQR,X-RAY DIFFRACTION,2.0
1CQT,X-RAY DIFFRACTION,3.2
1CS8,X-RAY DIFFRACTION,1.8
1CSB,X-RAY DIFFRACTION,N/A
1CSG,X-RAY DIFFRACTION,N/A
1CSK,X-RAY DIFFRACTION,N/A
1CTP,X-RAY DIFFRACTION,N/A
1CTR,X-RAY DIFFRACTION,N/A
1CVI,X-RAY DIFFRACTION,3.16
1CVJ,X-RAY DIFFRACTION,2.6
1CVS,X-RAY DIFFRACTION,2.8
1CVW,X-RAY DIFFRACTION,2.28
1CW3,X-RAY DIFFRACTION,2.58
1CWE,X-RAY DIFFRACTION,2.3
1CX8,X-RAY DIFFRACTION,3.2
1CXP,X-RAY DIFFRACTION,1.75
1CXZ,X-RAY DIFFRACTION,2.2
1CZ8,X-RAY DIFFRACTION,2.4
1CZA,X-RAY DIFFRACTION,1.9
1CZV,X-RAY DIFFRACTION,2.4
1D0G,X-RAY DIFFRACTION,2.4
1D1J,X-RAY DIFFRACTION,2.2
1D1S,X-RAY DIFFRACTION,2.5
1D1T,X-RAY DIFFRACTION,2.4
1D1Z,X-RAY DIFFRACTION,1.4
1D2V,X-RAY DIFFRACTION,1.75
1D3B,X-RAY DIFFRACTION,2.0
1D3D,X-RAY DIFFRACTION,2.04
1D3P,X-RAY DIFFRACTION,2.1
1D3Q,X-RAY DIFFRACTION,2.9
1D3T,X-RAY DIFFRACTION,3.0
1D4A,X-RAY DIFFRACTION,1.7
1D4P,X-RAY DIFFRACTION,2.07
1D4U,SOLUTION NMR,N/A
1D4V,X-RAY DIFFRACTION,2.2
1D4X,X-RAY DIFFRACTION,1.75
1D5B,X-RAY DIFFRACTION,2.8
1D5F,X-RAY DIFFRACTION,2.8
1D5I,X-RAY DIFFRACTION,2.0
1D5J,X-RAY DIFFRACTION,2.6
1D5L,X-RAY DIFFRACTION,1.9
1D5M,X-RAY DIFFRACTION,2.0
1D5R,X-RAY DIFFRACTION,2.1
1D5S,X-RAY DIFFRACTION,3.0
1D5X,X-RAY DIFFRACTION,2.45
1D5Z,X-RAY DIFFRACTION,2.0
1D6E,X-RAY DIFFRACTION,2.45
1D6N,X-RAY DIFFRACTION,2.7
1D6V,X-RAY DIFFRACTION,2.0
1D6W,X-RAY DIFFRACTION,2.0
1D7K,X-RAY DIFFRACTION,2.1
1D7W,X-RAY DIFFRACTION,1.9
1D8D,X-RAY DIFFRACTION,2.0
1D8E,X-RAY DIFFRACTION,3.0
1D8F,X-RAY DIFFRACTION,2.3
1D8M,X-RAY DIFFRACTION,2.44
1D9I,X-RAY DIFFRACTION,2.3
1DAN,X-RAY DIFFRACTION,1.95
1DB2,X-RAY DIFFRACTION,2.55
1DBH,X-RAY DIFFRACTION,2.3
1DCL,X-RAY DIFFRACTION,N/A
1DD1,X-RAY DIFFRACTION,2.62
1DDJ,X-RAY DIFFRACTION,2.0
1DE4,X-RAY DIFFRACTION,2.8
1DE7,X-RAY DIFFRACTION,2.0
1DE8,X-RAY DIFFRACTION,2.95
1DEB,X-RAY DIFFRACTION,2.4
1DEE,X-RAY DIFFRACTION,2.7
1DEH,X-RAY DIFFRACTION,2.19
1DEJ,X-RAY DIFFRACTION,2.4
1DEV,X-RAY DIFFRACTION,2.2
1DFB,X-RAY DIFFRACTION,N/A
1DFC,X-RAY DIFFRACTION,2.9
1DFN,X-RAY DIFFRACTION,N/A
1DFP,X-RAY DIFFRACTION,2.4
1DG3,X-RAY DIFFRACTION,1.8
1DGB,X-RAY DIFFRACTION,2.2
1DGF,X-RAY DIFFRACTION,1.5
1DGG,X-RAY DIFFRACTION,1.8
1DGH,X-RAY DIFFRACTION,2.0
1DGK,X-RAY DIFFRACTION,2.77
1DHF,X-RAY DIFFRACTION,N/A
1DIA,X-RAY DIFFRACTION,2.2
1DIB,X-RAY DIFFRACTION,2.7
1DIG,X-RAY DIFFRACTION,2.2
1DIT,X-RAY DIFFRACTION,2.3
1DJS,X-RAY DIFFRACTION,2.4
1DKE,X-RAY DIFFRACTION,2.1
1DKF,X-RAY DIFFRACTION,2.5
1DKS,X-RAY DIFFRACTION,3.2
1DKT,X-RAY DIFFRACTION,2.9
1DLE,X-RAY DIFFRACTION,2.1
1DLH,X-RAY DIFFRACTION,N/A
1DM4,X-RAY DIFFRACTION,2.5
1DMT,X-RAY DIFFRACTION,2.0
1DN0,X-RAY DIFFRACTION,2.28
1DN2,X-RAY DIFFRACTION,2.7
1DNC,X-RAY DIFFRACTION,1.7
1DNU,X-RAY DIFFRACTION,1.85
1DNW,X-RAY DIFFRACTION,1.9
1DO5,X-RAY DIFFRACTION,2.75
1DO8,X-RAY DIFFRACTION,2.2
1DOA,X-RAY DIFFRACTION,N/A
1DOJ,X-RAY DIFFRACTION,1.66
1DOK,X-RAY DIFFRACTION,1.85
1DOM,SOLUTION NMR,N/A
1DON,SOLUTION NMR,N/A
1DPT,X-RAY DIFFRACTION,1.54
1DQ8,X-RAY DIFFRACTION,2.0
1DQ9,X-RAY DIFFRACTION,2.0
1DQA,X-RAY DIFFRACTION,2.0
1DQL,X-RAY DIFFRACTION,2.58
1DR9,X-RAY DIFFRACTION,3.0
1DS5,X-RAY DIFFRACTION,3.16
1DS6,X-RAY DIFFRACTION,2.35
1DSU,X-RAY DIFFRACTION,N/A
1DT7,SOLUTION NMR,N/A
1DT9,X-RAY DIFFRACTION,2.7
1DTJ,X-RAY DIFFRACTION,2.0
1DTW,X-RAY DIFFRACTION,2.7
1DU3,X-RAY DIFFRACTION,2.2
1DUG,X-RAY DIFFRACTION,1.7
1DUX,X-RAY DIFFRACTION,2.1
1DUY,X-RAY DIFFRACTION,2.15
1DUZ,X-RAY DIFFRACTION,1.8
1DVA,X-RAY DIFFRACTION,3.0
1DVM,X-RAY DIFFRACTION,2.4
1DVQ,X-RAY DIFFRACTION,2.0
1DVS,X-RAY DIFFRACTION,1.9
1DVT,X-RAY DIFFRACTION,1.85
1DVU,X-RAY DIFFRACTION,1.7
1DVX,X-RAY DIFFRACTION,2.0
1DVY,X-RAY DIFFRACTION,1.8
1DVZ,X-RAY DIFFRACTION,1.8
1DWB,X-RAY DIFFRACTION,N/A
1DWC,X-RAY DIFFRACTION,N/A
1DWD,X-RAY DIFFRACTION,N/A
1DWE,X-RAY DIFFRACTION,N/A
1DX5,X-RAY DIFFRACTION,2.29
1DXO,X-RAY DIFFRACTION,2.5
1DXT,X-RAY DIFFRACTION,N/A
1DXU,X-RAY DIFFRACTION,N/A
1DXV,X-RAY DIFFRACTION,N/A
1DXX,X-RAY DIFFRACTION,2.6
1DYN,X-RAY DIFFRACTION,N/A
1DZA,X-RAY DIFFRACTION,1.65
1DZG,X-RAY DIFFRACTION,2.8
1DZH,X-RAY DIFFRACTION,2.85
1E03,X-RAY DIFFRACTION,2.9
1E04,X-RAY DIFFRACTION,2.6
1E05,X-RAY DIFFRACTION,2.62
1E0A,SOLUTION NMR,N/A
1E0F,X-RAY DIFFRACTION,3.1
1E0O,X-RAY DIFFRACTION,2.8
1E1Z,X-RAY DIFFRACTION,2.4
1E27,X-RAY DIFFRACTION,2.2
1E28,X-RAY DIFFRACTION,3.0
1E2S,X-RAY DIFFRACTION,2.35
1E33,X-RAY DIFFRACTION,2.5
1E3C,X-RAY DIFFRACTION,2.65
1E3F,X-RAY DIFFRACTION,1.9
1E42,X-RAY DIFFRACTION,1.7
1E4H,X-RAY DIFFRACTION,1.8
1E4J,X-RAY DIFFRACTION,2.5
1E4K,X-RAY DIFFRACTION,3.2
1E50,X-RAY DIFFRACTION,2.6
1E51,X-RAY DIFFRACTION,2.832
1E5A,X-RAY DIFFRACTION,1.8
1E5W,X-RAY DIFFRACTION,2.7
1E6F,X-RAY DIFFRACTION,1.753
1E78,X-RAY DIFFRACTION,2.6
1E7A,X-RAY DIFFRACTION,2.2
1E7B,X-RAY DIFFRACTION,2.38
1E7C,X-RAY DIFFRACTION,2.4
1E7E,X-RAY DIFFRACTION,2.5
1E7F,X-RAY DIFFRACTION,2.44
1E7G,X-RAY DIFFRACTION,2.5
1E7H,X-RAY DIFFRACTION,2.44
1E7I,X-RAY DIFFRACTION,2.7
1E88,SOLUTION NMR,N/A
1E8A,X-RAY DIFFRACTION,1.95
1E8B,SOLUTION NMR,N/A
1E8I,X-RAY DIFFRACTION,1.95
1E8O,X-RAY DIFFRACTION,3.2
1E8Y,X-RAY DIFFRACTION,2.0
1E8Z,X-RAY DIFFRACTION,2.4
1E96,X-RAY DIFFRACTION,2.4
1E9H,X-RAY DIFFRACTION,2.5
1E9N,X-RAY DIFFRACTION,2.2
1EAJ,X-RAY DIFFRACTION,1.35
1EAK,X-RAY DIFFRACTION,2.65
1EAW,X-RAY DIFFRACTION,2.93
1EB1,X-RAY DIFFRACTION,1.8
1EBA,X-RAY DIFFRACTION,2.5
1EBM,X-RAY DIFFRACTION,2.1
1EBP,X-RAY DIFFRACTION,N/A
1EC6,X-RAY DIFFRACTION,2.4
1EDM,X-RAY DIFFRACTION,3.5
1EE4,X-RAY DIFFRACTION,2.1
1EEM,X-RAY DIFFRACTION,2.0
1EEQ,X-RAY DIFFRACTION,1.5
1EER,X-RAY DIFFRACTION,1.9
1EES,SOLUTION NMR,N/A
1EEU,X-RAY DIFFRACTION,1.6
1EEY,X-RAY DIFFRACTION,2.25
1EEZ,X-RAY DIFFRACTION,2.3
1EF1,X-RAY DIFFRACTION,1.9
1EF7,X-RAY DIFFRACTION,2.67
1EFE,SOLUTION NMR,N/A
1EFH,X-RAY DIFFRACTION,2.4
1EFK,X-RAY DIFFRACTION,2.6
1EFL,X-RAY DIFFRACTION,2.6
1EFN,X-RAY DIFFRACTION,N/A
1EFV,X-RAY DIFFRACTION,2.1
1EFX,X-RAY DIFFRACTION,3.0
1EG3,X-RAY DIFFRACTION,2.0
1EG4,X-RAY DIFFRACTION,1.9
1EGC,X-RAY DIFFRACTION,N/A
1EGD,X-RAY DIFFRACTION,N/A
1EGE,X-RAY DIFFRACTION,N/A
1EGJ,X-RAY DIFFRACTION,2.8
1EGW,X-RAY DIFFRACTION,1.5
1EH6,X-RAY DIFFRACTION,2.0
1EH7,X-RAY DIFFRACTION,2.0
1EH8,X-RAY DIFFRACTION,2.5
1EHW,X-RAY DIFFRACTION,2.4
1EJ9,X-RAY DIFFRACTION,2.6
1EJH,X-RAY DIFFRACTION,2.2
1EJP,SOLUTION NMR,N/A
1EJQ,SOLUTION NMR,N/A
1EK3,X-RAY DIFFRACTION,1.9
1EK6,X-RAY DIFFRACTION,1.5
1EKF,X-RAY DIFFRACTION,1.95
1EKP,X-RAY DIFFRACTION,2.5
1EKU,X-RAY DIFFRACTION,2.9
1EKV,X-RAY DIFFRACTION,2.25
1ELR,X-RAY DIFFRACTION,1.9
1ELV,X-RAY DIFFRACTION,1.7
1ELW,X-RAY DIFFRACTION,1.6
1EM1,X-RAY DIFFRACTION,2.1
1EM6,X-RAY DIFFRACTION,2.2
1EMN,SOLUTION NMR,N/A
1EMO,SOLUTION NMR,N/A
1EMU,X-RAY DIFFRACTION,1.9
1EOG,X-RAY DIFFRACTION,2.1
1EOH,X-RAY DIFFRACTION,N/A
1EOJ,X-RAY DIFFRACTION,2.1
1EOL,X-RAY DIFFRACTION,2.1
1EP9,X-RAY DIFFRACTION,2.4
1EQF,X-RAY DIFFRACTION,2.1
1EQT,X-RAY DIFFRACTION,1.6
1EQU,X-RAY DIFFRACTION,3.0
1EQY,X-RAY DIFFRACTION,2.3
1ERE,X-RAY DIFFRACTION,3.1
1ERN,X-RAY DIFFRACTION,2.4
1ERR,X-RAY DIFFRACTION,2.6
1ES0,X-RAY DIFFRACTION,2.6
1ES7,X-RAY DIFFRACTION,2.9
1ESL,X-RAY DIFFRACTION,N/A
1ESV,X-RAY DIFFRACTION,2.0
1ET1,X-RAY DIFFRACTION,0.9
1ETA,X-RAY DIFFRACTION,N/A
1ETB,X-RAY DIFFRACTION,N/A
1ETE,X-RAY DIFFRACTION,2.2
1EV2,X-RAY DIFFRACTION,2.2
1EV3,X-RAY DIFFRACTION,1.7
1EV6,X-RAY DIFFRACTION,1.8
1EVR,X-RAY DIFFRACTION,1.9
1EVT,X-RAY DIFFRACTION,2.8
1EVU,X-RAY DIFFRACTION,2.0
1EWF,X-RAY DIFFRACTION,1.7
1EX0,X-RAY DIFFRACTION,1.79
1EXT,X-RAY DIFFRACTION,N/A
1EXU,X-RAY DIFFRACTION,2.7
1EXV,X-RAY DIFFRACTION,2.4
1EXZ,X-RAY DIFFRACTION,2.3
1EY2,X-RAY DIFFRACTION,2.3
1EYB,X-RAY DIFFRACTION,1.9
1EYM,X-RAY DIFFRACTION,2.0
