PDB_ID,Method,Resolution
1BIU,X-RAY DIFFRACTION,1.95
1BIZ,X-RAY DIFFRACTION,2.0
1BJA,X-RAY DIFFRACTION,2.19
1BL3,X-RAY DIFFRACTION,2.0
1BMS,X-RAY DIFFRACTION,N/A
1BMV,X-RAY DIFFRACTION,3.0
1BQM,X-RAY DIFFRACTION,3.0
1BQN,X-RAY DIFFRACTION,3.0
1BU2,X-RAY DIFFRACTION,3.0
1BUI,X-RAY DIFFRACTION,2.65
1BV7,X-RAY DIFFRACTION,2.0
1BV9,X-RAY DIFFRACTION,1.9
1BVE,SOLUTION NMR,N/A
1BVG,SOLUTION NMR,N/A
1BVP,X-RAY DIFFRACTION,N/A
1BWA,X-RAY DIFFRACTION,1.9
1BWB,X-RAY DIFFRACTION,1.8
1C0M,X-RAY DIFFRACTION,2.53
1C0T,X-RAY DIFFRACTION,2.7
1C0U,X-RAY DIFFRACTION,2.52
1C1A,X-RAY DIFFRACTION,3.0
1C1B,X-RAY DIFFRACTION,2.5
1C1C,X-RAY DIFFRACTION,2.5
1C1K,X-RAY DIFFRACTION,1.45
1C2P,X-RAY DIFFRACTION,1.9
1C5E,X-RAY DIFFRACTION,1.1
1C6V,X-RAY DIFFRACTION,3.0
1C6X,X-RAY DIFFRACTION,N/A
1C6Y,X-RAY DIFFRACTION,N/A
1C6Z,X-RAY DIFFRACTION,N/A
1C70,X-RAY DIFFRACTION,N/A
1C8N,X-RAY DIFFRACTION,2.25
1CD3,X-RAY DIFFRACTION,3.5
1CE6,X-RAY DIFFRACTION,2.85
1CEZ,X-RAY DIFFRACTION,2.4
1CG9,X-RAY DIFFRACTION,2.7
1CJD,X-RAY DIFFRACTION,1.85
1CKM,X-RAY DIFFRACTION,2.5
1CKN,X-RAY DIFFRACTION,2.5
1CKO,X-RAY DIFFRACTION,3.1
1CLQ,X-RAY DIFFRACTION,2.7
1CM9,X-RAY DIFFRACTION,2.1
1COP,SOLUTION NMR,N/A
1CPI,X-RAY DIFFRACTION,2.05
1CQ3,X-RAY DIFFRACTION,1.8
1CRX,X-RAY DIFFRACTION,2.4
1CSJ,X-RAY DIFFRACTION,2.8
1CU1,X-RAY DIFFRACTION,2.5
1CWP,X-RAY DIFFRACTION,3.19
1CZD,X-RAY DIFFRACTION,2.45
1D0E,X-RAY DIFFRACTION,3.0
1D1M,X-RAY DIFFRACTION,2.05
1D4H,X-RAY DIFFRACTION,1.81
1D4I,X-RAY DIFFRACTION,1.81
1D4J,X-RAY DIFFRACTION,1.81
1D4K,X-RAY DIFFRACTION,1.85
1D4L,X-RAY DIFFRACTION,1.75
1D4M,X-RAY DIFFRACTION,2.9
1D4S,X-RAY DIFFRACTION,2.5
1D4Y,X-RAY DIFFRACTION,1.97
1DAZ,X-RAY DIFFRACTION,1.55
1DDH,X-RAY DIFFRACTION,3.1
1DDL,X-RAY DIFFRACTION,2.7
1DHM,SOLUTION NMR,N/A
1DIF,X-RAY DIFFRACTION,N/A
1DLH,X-RAY DIFFRACTION,N/A
1DLO,X-RAY DIFFRACTION,N/A
1DML,X-RAY DIFFRACTION,2.7
1DMP,X-RAY DIFFRACTION,2.0
1DTQ,X-RAY DIFFRACTION,2.8
1DTT,X-RAY DIFFRACTION,3.0
1DUT,X-RAY DIFFRACTION,N/A
1DW6,X-RAY DIFFRACTION,1.8
1DXP,X-RAY DIFFRACTION,2.4
1DY8,X-RAY DIFFRACTION,2.4
1DY9,X-RAY DIFFRACTION,2.1
1DYL,ELECTRON MICROSCOPY,N/A
1E0J,X-RAY DIFFRACTION,3.0
1E0K,X-RAY DIFFRACTION,3.3
1E27,X-RAY DIFFRACTION,2.2
1E28,X-RAY DIFFRACTION,3.0
1E2H,X-RAY DIFFRACTION,1.9
1E2I,X-RAY DIFFRACTION,1.9
1E2J,X-RAY DIFFRACTION,2.5
1E2K,X-RAY DIFFRACTION,1.7
1E2L,X-RAY DIFFRACTION,2.4
1E2M,X-RAY DIFFRACTION,2.2
1E2N,X-RAY DIFFRACTION,2.2
1E2P,X-RAY DIFFRACTION,2.5
1E57,X-RAY DIFFRACTION,3.2
1E6J,X-RAY DIFFRACTION,3.0
1E7D,X-RAY DIFFRACTION,2.8
1E7L,X-RAY DIFFRACTION,1.32
1E8T,X-RAY DIFFRACTION,2.5
1E8U,X-RAY DIFFRACTION,2.0
1E8V,X-RAY DIFFRACTION,2.8
1EA3,X-RAY DIFFRACTION,2.3
1EBK,X-RAY DIFFRACTION,N/A
1EBW,X-RAY DIFFRACTION,1.81
1EBY,X-RAY DIFFRACTION,2.294
1EBZ,X-RAY DIFFRACTION,2.01
1EC0,X-RAY DIFFRACTION,1.79
1EC1,X-RAY DIFFRACTION,2.1
1EC2,X-RAY DIFFRACTION,2.0
1EC3,X-RAY DIFFRACTION,1.8
1EET,X-RAY DIFFRACTION,2.73
1EFN,X-RAY DIFFRACTION,N/A
1EI7,X-RAY DIFFRACTION,2.4
1EJO,X-RAY DIFFRACTION,2.3
1EL6,X-RAY DIFFRACTION,2.0
1EM9,X-RAY DIFFRACTION,2.05
1EN7,X-RAY DIFFRACTION,2.33
1EO8,X-RAY DIFFRACTION,2.8
1EP4,X-RAY DIFFRACTION,2.5
1EP5,X-RAY DIFFRACTION,2.3
1EP6,X-RAY DIFFRACTION,2.45
1EX4,X-RAY DIFFRACTION,2.8
1EXE,SOLUTION NMR,N/A
1EXQ,X-RAY DIFFRACTION,1.6
1F0C,X-RAY DIFFRACTION,2.26
1F15,X-RAY DIFFRACTION,N/A
1F2N,X-RAY DIFFRACTION,2.8
1F39,X-RAY DIFFRACTION,1.8
1F58,X-RAY DIFFRACTION,2.0
1F5Q,X-RAY DIFFRACTION,2.5
1F7A,X-RAY DIFFRACTION,2.0
1F7D,X-RAY DIFFRACTION,1.4
1F7K,X-RAY DIFFRACTION,2.2
1F7N,X-RAY DIFFRACTION,2.2
1F7O,X-RAY DIFFRACTION,2.2
1F7P,X-RAY DIFFRACTION,2.28
1F7Q,X-RAY DIFFRACTION,2.26
1F8V,X-RAY DIFFRACTION,3.0
1F9F,X-RAY DIFFRACTION,N/A
1FEJ,X-RAY DIFFRACTION,1.7
1FF0,X-RAY DIFFRACTION,1.85
1FFF,X-RAY DIFFRACTION,1.9
1FFI,X-RAY DIFFRACTION,1.7
1FG6,X-RAY DIFFRACTION,1.8
1FG8,X-RAY DIFFRACTION,1.85
1FGC,X-RAY DIFFRACTION,1.85
1FK9,X-RAY DIFFRACTION,2.5
1FKO,X-RAY DIFFRACTION,2.9
1FKP,X-RAY DIFFRACTION,2.9
1FL1,X-RAY DIFFRACTION,2.2
1FLC,X-RAY DIFFRACTION,3.2
1FMD,X-RAY DIFFRACTION,N/A
1FOD,X-RAY DIFFRACTION,N/A
1FOU,X-RAY DIFFRACTION,3.21
1FPT,X-RAY DIFFRACTION,N/A
1FQX,X-RAY DIFFRACTION,3.1
1FR5,X-RAY DIFFRACTION,3.5
1FRG,X-RAY DIFFRACTION,N/A
1FRS,X-RAY DIFFRACTION,N/A
1FYT,X-RAY DIFFRACTION,2.6
1FZJ,X-RAY DIFFRACTION,1.9
1FZK,X-RAY DIFFRACTION,1.7
1FZM,X-RAY DIFFRACTION,1.8
1FZO,X-RAY DIFFRACTION,1.8
1FZR,X-RAY DIFFRACTION,2.1
1G2C,X-RAY DIFFRACTION,2.2
1G2K,X-RAY DIFFRACTION,1.95
1G31,X-RAY DIFFRACTION,2.3
1G35,X-RAY DIFFRACTION,1.8
1G3N,X-RAY DIFFRACTION,2.9
1G3P,X-RAY DIFFRACTION,1.46
1G5B,X-RAY DIFFRACTION,2.15
1G5G,X-RAY DIFFRACTION,3.3
1G6L,X-RAY DIFFRACTION,1.9
1G9M,X-RAY DIFFRACTION,2.2
1G9N,X-RAY DIFFRACTION,2.9
1GAV,X-RAY DIFFRACTION,3.4
1GC1,X-RAY DIFFRACTION,2.5
1GFF,X-RAY DIFFRACTION,N/A
1GGI,X-RAY DIFFRACTION,N/A
1GH6,X-RAY DIFFRACTION,3.2
1GNM,X-RAY DIFFRACTION,2.3
1GNN,X-RAY DIFFRACTION,2.3
1GNO,X-RAY DIFFRACTION,2.3
1GUX,X-RAY DIFFRACTION,1.85
1GW7,ELECTRON MICROSCOPY,N/A
1GW8,ELECTRON MICROSCOPY,N/A
1H09,X-RAY DIFFRACTION,2.1
1H15,X-RAY DIFFRACTION,3.1
1H2D,X-RAY DIFFRACTION,2.6
1H38,X-RAY DIFFRACTION,2.6
1H5W,X-RAY DIFFRACTION,2.1
1H8A,X-RAY DIFFRACTION,2.1
1H8T,X-RAY DIFFRACTION,2.9
1HAV,X-RAY DIFFRACTION,2.0
1HB5,ELECTRON MICROSCOPY,N/A
1HB7,ELECTRON MICROSCOPY,N/A
1HB9,ELECTRON MICROSCOPY,N/A
1HBV,X-RAY DIFFRACTION,N/A
1HEK,X-RAY DIFFRACTION,2.8
1HGD,X-RAY DIFFRACTION,N/A
1HGE,X-RAY DIFFRACTION,N/A
1HGF,X-RAY DIFFRACTION,N/A
1HGG,X-RAY DIFFRACTION,N/A
1HGH,X-RAY DIFFRACTION,N/A
1HGI,X-RAY DIFFRACTION,N/A
1HGJ,X-RAY DIFFRACTION,N/A
1HHG,X-RAY DIFFRACTION,N/A
1HHH,X-RAY DIFFRACTION,N/A
1HHI,X-RAY DIFFRACTION,N/A
1HHJ,X-RAY DIFFRACTION,N/A
1HHK,X-RAY DIFFRACTION,N/A
1HHS,X-RAY DIFFRACTION,2.0
1HHT,X-RAY DIFFRACTION,2.9
1HI0,X-RAY DIFFRACTION,2.9
1HI1,X-RAY DIFFRACTION,3.0
1HIH,X-RAY DIFFRACTION,N/A
1HII,X-RAY DIFFRACTION,N/A
1HIM,X-RAY DIFFRACTION,N/A
1HIV,X-RAY DIFFRACTION,N/A
1HIW,X-RAY DIFFRACTION,2.3
1HMV,X-RAY DIFFRACTION,N/A
1HNI,X-RAY DIFFRACTION,2.8
1HNV,X-RAY DIFFRACTION,2.8
1HOC,X-RAY DIFFRACTION,N/A
1HOS,X-RAY DIFFRACTION,N/A
1HPO,X-RAY DIFFRACTION,2.5
1HPS,X-RAY DIFFRACTION,N/A
1HPV,X-RAY DIFFRACTION,N/A
1HPX,X-RAY DIFFRACTION,2.0
1HPZ,X-RAY DIFFRACTION,3.0
1HQE,X-RAY DIFFRACTION,2.7
1HQN,X-RAY DIFFRACTION,2.15
1HQU,X-RAY DIFFRACTION,2.7
1HRH,X-RAY DIFFRACTION,N/A
1HSG,X-RAY DIFFRACTION,N/A
1HSH,X-RAY DIFFRACTION,N/A
1HSI,X-RAY DIFFRACTION,N/A
1HTE,X-RAY DIFFRACTION,N/A
1HTF,X-RAY DIFFRACTION,N/A
1HTG,X-RAY DIFFRACTION,N/A
1HVC,X-RAY DIFFRACTION,N/A
1HVH,X-RAY DIFFRACTION,N/A
1HVI,X-RAY DIFFRACTION,N/A
1HVJ,X-RAY DIFFRACTION,N/A
1HVK,X-RAY DIFFRACTION,N/A
1HVL,X-RAY DIFFRACTION,N/A
1HVR,X-RAY DIFFRACTION,N/A
1HVS,X-RAY DIFFRACTION,N/A
1HVU,X-RAY DIFFRACTION,4.75
1HWR,X-RAY DIFFRACTION,N/A
1HX6,X-RAY DIFFRACTION,1.6
1HXB,X-RAY DIFFRACTION,N/A
1HXS,X-RAY DIFFRACTION,2.15
1HXW,X-RAY DIFFRACTION,1.8
1HXY,X-RAY DIFFRACTION,2.6
1HYS,X-RAY DIFFRACTION,3.0
1I1R,X-RAY DIFFRACTION,2.4
1I3J,X-RAY DIFFRACTION,2.2
1I3S,X-RAY DIFFRACTION,2.7
1I4E,X-RAY DIFFRACTION,3.0
1IDA,X-RAY DIFFRACTION,N/A
1IDB,X-RAY DIFFRACTION,N/A
1IG9,X-RAY DIFFRACTION,2.6
1IH7,X-RAY DIFFRACTION,2.2
1IHM,X-RAY DIFFRACTION,3.2
1IHV,SOLUTION NMR,N/A
1IHW,SOLUTION NMR,N/A
1IIQ,X-RAY DIFFRACTION,1.83
1IJG,X-RAY DIFFRACTION,2.9
1IKV,X-RAY DIFFRACTION,3.0
1IKW,X-RAY DIFFRACTION,3.0
1IKX,X-RAY DIFFRACTION,2.8
1IKY,X-RAY DIFFRACTION,2.94
1IM3,X-RAY DIFFRACTION,2.2
1ING,X-RAY DIFFRACTION,N/A
1INH,X-RAY DIFFRACTION,N/A
1IVC,X-RAY DIFFRACTION,N/A
1IVD,X-RAY DIFFRACTION,N/A
1IVE,X-RAY DIFFRACTION,N/A
1IVF,X-RAY DIFFRACTION,N/A
1IVG,X-RAY DIFFRACTION,N/A
1IVP,X-RAY DIFFRACTION,N/A
1IVQ,X-RAY DIFFRACTION,N/A
1IZH,X-RAY DIFFRACTION,1.9
1IZI,X-RAY DIFFRACTION,2.15
1J5O,X-RAY DIFFRACTION,3.5
1J9I,SOLUTION NMR,N/A
1JJ4,X-RAY DIFFRACTION,2.3
1JKH,X-RAY DIFFRACTION,2.5
1JLA,X-RAY DIFFRACTION,2.5
1JLB,X-RAY DIFFRACTION,3.0
1JLC,X-RAY DIFFRACTION,3.0
1JLD,X-RAY DIFFRACTION,2.5
1JLE,X-RAY DIFFRACTION,2.8
1JLF,X-RAY DIFFRACTION,2.6
1JLG,X-RAY DIFFRACTION,2.6
1JLQ,X-RAY DIFFRACTION,2.98
1JNB,X-RAY DIFFRACTION,3.21
1JOW,X-RAY DIFFRACTION,3.1
1JQU,X-RAY DIFFRACTION,2.6
1JR5,SOLUTION NMR,N/A
1JS9,X-RAY DIFFRACTION,3.4
1JSD,X-RAY DIFFRACTION,1.8
1JSH,X-RAY DIFFRACTION,2.4
1JSI,X-RAY DIFFRACTION,2.4
1JSM,X-RAY DIFFRACTION,1.9
1JSN,X-RAY DIFFRACTION,2.4
1JSO,X-RAY DIFFRACTION,2.4
1JXP,X-RAY DIFFRACTION,2.2
1K1T,X-RAY DIFFRACTION,1.2
1K1U,X-RAY DIFFRACTION,1.55
1K28,X-RAY DIFFRACTION,2.9
1K2B,X-RAY DIFFRACTION,1.7
1K2C,X-RAY DIFFRACTION,2.2
1K4R,ELECTRON MICROSCOPY,24.0
1K5M,X-RAY DIFFRACTION,2.7
1K6C,X-RAY DIFFRACTION,2.2
1K6P,X-RAY DIFFRACTION,2.2
1K6T,X-RAY DIFFRACTION,2.25
1K6V,X-RAY DIFFRACTION,2.0
1K6Y,X-RAY DIFFRACTION,2.4
1KAF,X-RAY DIFFRACTION,1.6
1KBG,X-RAY DIFFRACTION,2.1
1KBU,X-RAY DIFFRACTION,2.2
1KC5,X-RAY DIFFRACTION,2.5
1KCA,X-RAY DIFFRACTION,2.9
1KCR,X-RAY DIFFRACTION,2.9
1KCS,X-RAY DIFFRACTION,2.5
1KEN,X-RAY DIFFRACTION,3.5
1KG0,X-RAY DIFFRACTION,2.65
1KI2,X-RAY DIFFRACTION,2.2
1KI3,X-RAY DIFFRACTION,2.37
1KI4,X-RAY DIFFRACTION,2.34
1KI6,X-RAY DIFFRACTION,2.37
1KI7,X-RAY DIFFRACTION,2.15
1KI8,X-RAY DIFFRACTION,2.15
1KIM,X-RAY DIFFRACTION,2.14
1KJ4,X-RAY DIFFRACTION,2.9
1KJ7,X-RAY DIFFRACTION,2.0
1KJF,X-RAY DIFFRACTION,2.0
1KJG,X-RAY DIFFRACTION,2.0
1KJH,X-RAY DIFFRACTION,2.0
1KLM,X-RAY DIFFRACTION,2.65
1KPU,X-RAY DIFFRACTION,1.5
1KPV,X-RAY DIFFRACTION,1.7
1KZK,X-RAY DIFFRACTION,1.09
1L1N,X-RAY DIFFRACTION,2.1
1L97,X-RAY DIFFRACTION,N/A
1LAJ,X-RAY DIFFRACTION,3.4
1LD4,ELECTRON MICROSCOPY,N/A
1LKT,X-RAY DIFFRACTION,2.6
1LN0,X-RAY DIFFRACTION,2.0
1LV1,X-RAY DIFFRACTION,2.1
1LVB,X-RAY DIFFRACTION,2.2
1LVM,X-RAY DIFFRACTION,1.8
1LVO,X-RAY DIFFRACTION,1.96
1LW0,X-RAY DIFFRACTION,2.8
1LW2,X-RAY DIFFRACTION,3.0
1LWC,X-RAY DIFFRACTION,2.62
1LWE,X-RAY DIFFRACTION,2.8
1LWF,X-RAY DIFFRACTION,2.8
1LZQ,X-RAY DIFFRACTION,2.2
1M05,X-RAY DIFFRACTION,1.9
1M06,X-RAY DIFFRACTION,3.5
1M0B,X-RAY DIFFRACTION,2.45
1M0D,X-RAY DIFFRACTION,1.9
1M0I,X-RAY DIFFRACTION,2.55
1M1C,X-RAY DIFFRACTION,3.5
1M4X,ELECTRON MICROSCOPY,N/A
1M55,X-RAY DIFFRACTION,1.4
1M93,X-RAY DIFFRACTION,1.65
1M9C,X-RAY DIFFRACTION,2.0
1M9D,X-RAY DIFFRACTION,1.9
1M9E,X-RAY DIFFRACTION,1.72
1M9F,X-RAY DIFFRACTION,1.73
1M9X,X-RAY DIFFRACTION,1.7
1M9Y,X-RAY DIFFRACTION,1.9
1MA7,X-RAY DIFFRACTION,2.3
1MBM,X-RAY DIFFRACTION,2.0
1MEC,X-RAY DIFFRACTION,N/A
1MER,X-RAY DIFFRACTION,N/A
1MES,X-RAY DIFFRACTION,N/A
1MET,X-RAY DIFFRACTION,N/A
1MEU,X-RAY DIFFRACTION,N/A
1MG1,X-RAY DIFFRACTION,2.29
1MI5,X-RAY DIFFRACTION,2.5
1MKF,X-RAY DIFFRACTION,2.1
1ML0,X-RAY DIFFRACTION,2.8
1MN8,X-RAY DIFFRACTION,1.0
1MNT,SOLUTION NMR,N/A
1MQL,X-RAY DIFFRACTION,2.9
1MQM,X-RAY DIFFRACTION,2.6
1MQN,X-RAY DIFFRACTION,3.2
1MQT,X-RAY DIFFRACTION,3.3
1MRW,X-RAY DIFFRACTION,2.0
1MRX,X-RAY DIFFRACTION,2.0
1MSM,X-RAY DIFFRACTION,2.0
1MSN,X-RAY DIFFRACTION,2.0
1MST,X-RAY DIFFRACTION,N/A
1MSW,X-RAY DIFFRACTION,2.1
1MT7,X-RAY DIFFRACTION,1.9
1MT8,X-RAY DIFFRACTION,2.15
1MT9,X-RAY DIFFRACTION,2.0
1MTB,X-RAY DIFFRACTION,2.5
1MTR,X-RAY DIFFRACTION,1.75
1MU2,X-RAY DIFFRACTION,2.35
1MUI,X-RAY DIFFRACTION,2.8
1MVA,X-RAY DIFFRACTION,3.0
1MVB,X-RAY DIFFRACTION,3.0
1MVP,X-RAY DIFFRACTION,N/A
1MYK,X-RAY DIFFRACTION,N/A
1MYL,X-RAY DIFFRACTION,N/A
1N1L,X-RAY DIFFRACTION,2.6
1N25,X-RAY DIFFRACTION,2.8
1N3J,SOLUTION NMR,N/A
1N49,X-RAY DIFFRACTION,2.2
1N5Y,X-RAY DIFFRACTION,3.1
1N64,X-RAY DIFFRACTION,2.34
1N6Q,X-RAY DIFFRACTION,3.0
1N7V,X-RAY DIFFRACTION,2.2
1N7Z,X-RAY DIFFRACTION,2.0
1N80,X-RAY DIFFRACTION,2.45
1N8B,X-RAY DIFFRACTION,2.9
1NAK,X-RAY DIFFRACTION,2.57
1NAM,X-RAY DIFFRACTION,2.7
1NB4,X-RAY DIFFRACTION,2.0
1NB6,X-RAY DIFFRACTION,2.6
1NB7,X-RAY DIFFRACTION,2.9
1NCA,X-RAY DIFFRACTION,N/A
1NCB,X-RAY DIFFRACTION,N/A
1NCC,X-RAY DIFFRACTION,N/A
1NCD,X-RAY DIFFRACTION,N/A
1NCP,SOLUTION NMR,N/A
1NG0,X-RAY DIFFRACTION,2.7
1NG7,SOLUTION NMR,N/A
1NH0,X-RAY DIFFRACTION,1.03
1NHU,X-RAY DIFFRACTION,2.0
1NHV,X-RAY DIFFRACTION,2.9
1NLA,SOLUTION NMR,N/A
1NMA,X-RAY DIFFRACTION,N/A
1NMB,X-RAY DIFFRACTION,N/A
1NMC,X-RAY DIFFRACTION,2.5
1NO4,X-RAY DIFFRACTION,2.2
1NO7,X-RAY DIFFRACTION,2.9
1NOH,X-RAY DIFFRACTION,2.8
1NOV,X-RAY DIFFRACTION,3.3
1NPA,X-RAY DIFFRACTION,2.0
1NPV,X-RAY DIFFRACTION,2.0
1NPW,X-RAY DIFFRACTION,2.0
1NS1,SOLUTION NMR,N/A
1NS3,X-RAY DIFFRACTION,N/A
1NSB,X-RAY DIFFRACTION,N/A
1NSC,X-RAY DIFFRACTION,N/A
1NSD,X-RAY DIFFRACTION,N/A
1NY7,X-RAY DIFFRACTION,3.0
1NYJ,SOLID-STATE NMR,N/A
1NZB,X-RAY DIFFRACTION,3.1
1NZV,X-RAY DIFFRACTION,2.1
1O6E,X-RAY DIFFRACTION,2.3
1OAN,X-RAY DIFFRACTION,2.75
1OBA,X-RAY DIFFRACTION,2.45
1OCY,X-RAY DIFFRACTION,1.5
1ODW,X-RAY DIFFRACTION,2.1
1ODX,X-RAY DIFFRACTION,2.0
1ODY,X-RAY DIFFRACTION,2.0
1OF1,X-RAY DIFFRACTION,1.95
1OHF,X-RAY DIFFRACTION,2.8
1OHG,X-RAY DIFFRACTION,3.44
1OHR,X-RAY DIFFRACTION,N/A
1OK8,X-RAY DIFFRACTION,2.0
1OKE,X-RAY DIFFRACTION,2.4
1OOP,X-RAY DIFFRACTION,3.0
1OPO,X-RAY DIFFRACTION,3.2
1OSN,X-RAY DIFFRACTION,3.2
1OUQ,X-RAY DIFFRACTION,3.2
1P35,X-RAY DIFFRACTION,2.2
1P5C,X-RAY DIFFRACTION,2.5
1P65,X-RAY DIFFRACTION,2.6
1P6X,X-RAY DIFFRACTION,2.0
1P72,X-RAY DIFFRACTION,2.1
1P73,X-RAY DIFFRACTION,2.7
1P75,X-RAY DIFFRACTION,3.02
1P7C,X-RAY DIFFRACTION,2.1
1P7Q,X-RAY DIFFRACTION,3.4
1P8L,X-RAY DIFFRACTION,2.95
1P9U,X-RAY DIFFRACTION,2.37
1PAR,X-RAY DIFFRACTION,2.6
1PC6,X-RAY DIFFRACTION,2.5
1PD3,X-RAY DIFFRACTION,2.6
1PER,X-RAY DIFFRACTION,N/A
1PGL,X-RAY DIFFRACTION,2.8
1PGW,X-RAY DIFFRACTION,2.9
1PIV,X-RAY DIFFRACTION,2.9
1PO1,X-RAY DIFFRACTION,2.9
1PO2,X-RAY DIFFRACTION,2.9
1POV,X-RAY DIFFRACTION,N/A
1PQK,X-RAY DIFFRACTION,2.0
1PRO,X-RAY DIFFRACTION,N/A
1PVC,X-RAY DIFFRACTION,2.4
1PVP,X-RAY DIFFRACTION,2.35
1PVQ,X-RAY DIFFRACTION,2.75
1PVR,X-RAY DIFFRACTION,2.65
1PYW,X-RAY DIFFRACTION,2.1
1Q1J,X-RAY DIFFRACTION,2.5
1Q31,X-RAY DIFFRACTION,2.7
1Q3U,X-RAY DIFFRACTION,2.8
1Q3V,X-RAY DIFFRACTION,2.91
1Q57,X-RAY DIFFRACTION,3.45
1Q94,X-RAY DIFFRACTION,2.3
1Q9X,X-RAY DIFFRACTION,2.69
1Q9Y,X-RAY DIFFRACTION,2.8
1QA7,X-RAY DIFFRACTION,1.9
1QAJ,X-RAY DIFFRACTION,2.3
1QBE,X-RAY DIFFRACTION,N/A
1QBR,X-RAY DIFFRACTION,N/A
1QBS,X-RAY DIFFRACTION,N/A
1QBT,X-RAY DIFFRACTION,N/A
1QBU,X-RAY DIFFRACTION,N/A
1QBZ,X-RAY DIFFRACTION,1.47
1QCE,SOLUTION NMR,N/A
1QE1,X-RAY DIFFRACTION,2.85
1QEX,X-RAY DIFFRACTION,2.3
1QEY,SOLUTION NMR,N/A
1QFU,X-RAY DIFFRACTION,2.8
1QGC,ELECTRON MICROSCOPY,N/A
1QGT,X-RAY DIFFRACTION,3.3
